tag_id,name,slug,language,games_count
2723,trees,trees,eng,631
6755,wasteland,wasteland,eng,20
275,Movie,movie,eng,1071
657,Dreams,dreams,eng,2510
1055,celeste,celeste,eng,38
994,xna,xna,eng,30
1058,miniboss,miniboss,eng,3
1056,fna,fna,eng,4
1059,towerfall,towerfall,eng,5
1057,matt-makes-games,matt-makes-games,eng,2
29504,great-graphics,great-graphics,eng,4
9706,character-development,character-development,eng,3
143,RPGMaker,rpgmaker,eng,1506
662,RPG Maker,rpg-maker,eng,8785
974,death,death,eng,3811
782,humor,humor,eng,729
27,Warhammer 40K,warhammer-40k,eng,85
1752,japanese,japanese,eng,408
822,escape,escape,eng,7650
3786,sacrifice,sacrifice,eng,336
4458,mafia,mafia,eng,192
21388,1930s,1930s,eng,11
43575,30s,30s,eng,2
297,LEGO,lego,eng,292
342,Conversation,conversation,eng,3052
49970,Vehicular Combat,vehicular-combat-2,eng,869
57691,soft-body physics,soft-body-physics,eng,3
92376,Aventure,aventure,eng,124
1652,night,night,eng,4498
214,God Game,god-game,eng,736
262,Capitalism,capitalism,eng,1287
66667,cs,cs,eng,5
31154,counter-strke,counter-strke,eng,3
71007,condition zero,condition-zero,eng,1
626,cats,cats,eng,6903
58268,Котики,kotiki,eng,1741
292,Rome,rome,eng,249
228,Programming,programming,eng,1674
225,Typing,typing,eng,1738
59643,Протагонистка,protagonistka,eng,8039
892,love,love,eng,6385
316,Mining,mining,eng,1257
3626,treasure,treasure,eng,1882
688,relationship,relationship,eng,1027
2774,learn,learn,eng,1326
4451,obstacles,obstacles,eng,2220
2353,delivery,delivery,eng,278
257,Sailing,sailing,eng,543
127,Card Game,card-game,eng,3686
231,Strategy RPG,strategy-rpg,eng,3377
235,Trading Card Game,trading-card-game,eng,646
3068,future,future,eng,3146
1328,office,office,eng,1075
1454,quest,quest,eng,762
738,Boss battle,boss-battle,eng,3344
609,Norse,norse,eng,112
91614,playstation platinum range releases,playstation-platinum-range-releases,eng,2
7852,1990s,1990s-2,eng,27
91618,games made into books,games-made-into-books,eng,1
91619,games made into comics,games-made-into-comics,eng,1
91620,games made into movies,games-made-into-movies,eng,1
91621,hudless games,hudless-games,eng,1
91622,live action cut-scenes,live-action-cut-scenes,eng,1
91623,setting: 1990s,setting-1990s,eng,1
91624,setting: future now past,setting-future-now-past,eng,1
91625,theme: law enforcement,theme-law-enforcement,eng,1
91626,theme: zombies,theme-zombies,eng,1
91627,video games turned into board / card games,video-games-turned-into-board-card-games,eng,1
91628,white label releases,white-label-releases,eng,1
91615,biohazard / resident evil series,biohazard-resident-evil-series,eng,1
91616,boss fight books games,boss-fight-books-games,eng,1
574,Dungeons & Dragons,dungeons-dragons,eng,203
3748,terror,terror,eng,731
2406,dance,dance,eng,1161
1911,bus,bus,eng,112
1396,apocalypse,apocalypse,eng,720
625,party,party,eng,4257
162,Board Game,board-game,eng,4614
252,Mouse only,mouse-only,eng,5146
92375,Jeu de rôle,jeu-de-role-2,eng,35
582,Dog,dog,eng,2263
92228,Stereo Sound,stereo-sound,eng,1879
92237,Surround Sound,surround-sound-2,eng,465
300,Vampire,vampire,eng,1798
49964,Action Roguelike,action-roguelike-2,eng,4611
620,Spooky,spooky,eng,4410
