developer_id,name,slug,games_count,image_background
24,CD PROJEKT,cd-projekt-sa,7,https://media.rawg.io/media/screenshots/cf9/cf90097e47a02e91e099eb590c44ae4a.jpg
4309,Abstraction Games,abstraction-games,24,https://media.rawg.io/media/screenshots/4a2/4a2c96632d7721304b2856667ee85adf.jpg
362843,GOG,gog,22,https://media.rawg.io/media/games/a4b/a4bb55f42fe837ae7bf1307e7b41cc85.jpg
3979,Hangar 13,hangar-13,13,https://media.rawg.io/media/games/e0f/e0fc6554b6c0b5cd95037858898a1cc8.jpg
14687,Square,square,58,https://media.rawg.io/media/games/813/81343372bb9d84cda2d9f0fec2ef9661.jpg
18487,Sucker Punch Productions,sucker-punch-productions,15,https://media.rawg.io/media/screenshots/4f3/4f3ad8b741ff229d2bcafdb91fe3dc86.jpg
19103,Moon Studios,moon-studios,6,https://media.rawg.io/media/games/718/71891d2484a592d871e91dc826707e1c.jpg
3452,Arc System Works,arc-system-works,108,https://media.rawg.io/media/games/b67/b6769a1f19b6d6dd9216e3d4e56701b9.jpg
198,Hi-Rez Studios,hi-rez-studios,28,https://media.rawg.io/media/games/cc7/cc77035eb972f179f5090ee2a0fabd99.jpg
7693,Escalation Studios,escalation-studios,8,https://media.rawg.io/media/games/8a7/8a75028028592f9323d1e6e86668bb91.jpg
13836,Rare,rare,99,https://media.rawg.io/media/games/ed5/ed57fed438335280b5b832f6fa027e29.jpg
15189,SNK,snk,222,https://media.rawg.io/media/games/568/568814fe41848c8885d2d9a423765c2e.jpg
28889,8-4,8-4,16,https://media.rawg.io/media/screenshots/db8/db83a83c7fc09dca7d5357ed28d167dd.jpg
802,Paradox Interactive,paradox-interactive,31,https://media.rawg.io/media/games/08b/08b2eee52a9876a48b955e5149affe5b.jpg
6986,The Chinese Room,the-chinese-room,8,https://media.rawg.io/media/screenshots/b20/b20a20205954f9765e82298dbd41e48a.jpg
3602,Stardock Entertainment,stardock-entertainment,41,https://media.rawg.io/media/screenshots/7f7/7f7159db791f6423da090c1359cd672d.jpg
4815,Cyanide Studio,cyanide-studio,74,https://media.rawg.io/media/screenshots/b6e/b6e8669dc5a328ba97b2f10ee521e1ea.jpg
898,Amplitude Studios,amplitude-studios,14,https://media.rawg.io/media/screenshots/2ba/2ba66566cc1d907976237bb98c4d0379.jpg
11150,Black Isle Studios,black-isle-studios,14,https://media.rawg.io/media/screenshots/46a/46a479d0645f4a95b289affe66603d00.jpg
9157,OVERKILL Software,overkill-software,11,https://media.rawg.io/media/games/06b/06b488134abac3462843e4db8e3833a4.jpg
5434,Piranha Bytes,piranha-bytes,12,https://media.rawg.io/media/screenshots/6e2/6e22b48b86209ab927f19677341ef9b2.jpg
5489,Alawar Entertainment,alawar-entertainment,200,https://media.rawg.io/media/screenshots/e78/e780b25ac17d50b132a3ed619543535d.jpg
498,Nicalis,nicalis,22,https://media.rawg.io/media/screenshots/7e6/7e68904b3036af528f0d0627286264fe.jpg
