creator_id,name,slug,games_count
218,J. T. Petty,jt-petty,5
1270,Hans Zimmer,hans-zimmer,16
772,Ricardo Bare,ricardo-bare,3
1077,Vincent Pontbriand,vincent-pontbriand,4
629,Sean Cavanaugh,sean-cavanaugh,9
895,Paul Leonard-Morgan,paul-leonard-morgan,4
573,Daniel Licht,daniel-licht,5
124,Petri Järvilehto,petri-jarvilehto,8
1952,Lee Jackson,lee-jackson,26
21675,Adam Gascoine,adam-gascoine,3
1902,Rich Vreeland,disasterpeace,14
1415,Joel Emslie,joel-emslie,5
6674,Takashi Tezuka,takashi-tezuka,50
2432,Eiji Aonuma,eiji-aonuma,29
27051,Cory Carani,cory-carani,8
2503,Kenneth Scott,kenneth-scott,14
5873,Paweł Sasko,pawel-sasko,3
23178,Garrett Young,garrett-young,5
186,Mac Walters,mac-walters,4
142,Tommy Tordsson Björk,tommy-tordsson-bjork,4
703,Dominic Guay,dominic-guay,4
21640,Richard Dekkard,richard-dekkard,2
2003,Raphael Lacoste,raphael-lacoste-2,4
7,Oh No,oh-no,5
5,Daniel Alan Maman,the-alchemist,4
6,Tangerine Dream,tangerine-dream,4
21480,John Stafford,john-stafford,3
6311,Max Hoberman,max-hoberman,8
92,David Goldfarb,david-goldfarb,4
151,Anton Ragnarsson,anton-ragnarsson,3
20815,Ryan Smith,ryan-smith,8
195,Preston Watamaniuk,preston-watamaniuk,4
310,Mat Tremblay,mat-tremblay,5
791,Henry Jackman,henry-jackman,12
16981,James Daly,james-daly,10
117,Geoff Knorr,geoff-knorr,6
1588,Masaaki Yamada,masaaki-yamada,11
1940,Riley Cooper,riley-cooper,11
2355,Takashi Iizuka,takashi-iizuka,32
20373,Robert Walker,robert-walker,10
7303,Gary Whitta,gary-whitta,4
3275,Bryan Intihar,bryan-intihar,6
26130,Jakub Szamałek,jakub-szamalek,2
127,Saku Lehtinen,saku-lehtinen,5
130,Olli Tervo,olli-tervo,5
20,Piotr Krzywonosiuk,piotr-krzywonosiuk,2
299,Paweł Błaszczak,pawel-blaszczak,8
535,John Vogel,john-vogel,13
54,Arnt Jensen,arnt-jensen,2
59,Mads Wibroe,mads-wibroe,2
61,Thomas Krog,thomas-krog,2
58,Dino Christian Patti,dino-christian-patti,2
55,Jeppe Carlsen,jeppe-carlsen,2
7482,Phil Wattenbarger,phil-wattenbarger,9
27137,Jan Paul van Waveren,jan-paul-van-waveren,8
354,Thomas Grip,thomas-grip,6
7483,Adam Foshko,adam-foshko,10
8113,Finn Seliger,finn-seliger,5
1912,Matt Hansen,matt-hansen,5
1644,Robin Cox,robin-cox,2
519,Sean Vanaman,sean-vanaman,6
93,Ulf Andersson,ulf-andersson,5
1336,Paul Dini,paul-dini,7
7342,Hitori Nojima,hitori-nojima,4
3268,Jacinda Chew,jacinda-chew,5
355,Jens Nilsson,jens-nilsson,6
1176,Sean Murray,sean-murray,10
706,Danny Bélanger,danny-belanger,13
980,Amy Hennig,amy-hennig,11
96,Simon Viklund,simon-viklund,7
586,Dan Spitzley,dan-spitzley,6
2336,Matt Sophos,matt-sophos,7
2471,Katsura Hashino,katsura-hashino,27
368,Mike Reagan,mike-reagan,17
4538,Matthew Costello,matthew-costello,9
6058,Tom Potter,tom-potter,4
978,John Jennings,john-jennings,3
5988,David Christiansen,david-christiansen,3
3705,Chuck Jones,chuck-jones,17
2179,Richard Zangrande Gaubert,richard-gaubert,7
457,Vince de Vera,vince-de-vera,4
630,Patrick Deupree,patrick-deupree,11
1085,Ian Livingstone,ian-livingstone,21
598,John Faulkenbury,john-faulkenbury,3
777,Fredrik Lönn,fredrik-lonn,3
350,Mikael Hedberg,mikael-hedberg,4
2651,Damien Kieken,damien-kieken,3
4265,Andrew Zaferakis,andrew-zaferakis,6
947,Tyson Green,tyson-green,16
21651,David King,david-king,5
2467,Shigenori Soejima,shigenori-soejima,25
401,Jack Scalici,jack-scalici,4
999,Josh Scherr,josh-scherr,4
10998,Darren Bartlett,darren-bartlett,8
2422,Alex Duran,alex-duran,3
1958,Guillaume de Fondaumière,guillaume-de-fondaumiere,5
1735,Swen Vincke,swen-vincke,7
205,Alexei Buinitskiy,alexei-buinitskiy,2
202,Georgiy Beloglazov,georgiy-beloglazov,2
204,Oles Shyshkovstov,oles-shyshkovstov,2
951,Chris Butcher,chris-butcher,12
771,Jun Ito,jun-ito,8
274,Christian Cantamessa,christian-cantamessa,4
23,Matthew Steinke,matthew-steinke,2
22957,Michael Gamble,michael-gamble,4
3157,Graeme Devine,graeme-devine,23
2169,Brian D'Oliveira,brian-doliveira,5
3993,John Williams,john-williams,19
15828,Mark Gordon,mark-gordon,7
5679,Adam Williams,adam-williams,7
26524,Andrzej Sapkowski,andrzej-sapkowski,3
19881,Gene M. Rozenberg (arrangements),gene-m-rozenberg-arrangements,3
11808,Marcin Kruczkiewicz,marcin-kruczkiewicz,2
14024,Gene Rozenberg,gene-rozenberg,3
26527,Hidenari Inamura,hidenari-inamura,2
179,Greg Donovan,greg-donovan,6
19,Marian Chomiak,marian-chomiak,1
257,Steve Martin,steve-martin,7
1132,Chris Perna,chris-perna,9
2473,Shoji Meguro,shoji-meguro,34
680,Chuck Beaver,chuck-beaver,5
620,Craig Sullivan,craig-sullivan,7
7861,Kazunori Inoue,kazunori-inoue,3
942,Sage Merrill,sage-merrill,15
1784,Andreas Waldetoft,andreas-waldetoft,26
709,Patrice Zink,patrice-zink,5
5820,Kota Suzuki,kota-suzuki,5
1649,Derek Duke,derek-duke,16
1580,Rei Kondoh,rei-kondoh,25
2215,Chris Metzen,chris-metzen,20
20524,Gregory A. Cunningham,gregory-a-cunningham,14
936,C Paul Johnson,c-paul-johnson,17
508,Richard Pearsey,richard-pearsey,3
1787,Fredrik Toll,fredrik-toll,18
184,Zak McClendon,zak-mcclendon,5
313,Dave Kudirka,dave-kudirka,2
945,Luke Smith,luke-smith,16
1927,Stig Asmussen,stig-asmussen,7
537,Paulo Garcia,paulo-garcia,10
939,Christopher Barrett,christopher-barrett,17
539,Steve Beran,steve-beran,12
1639,Haruo Murata,haruo-murata,21
21653,James Snider,james-snider,4
4224,Toshihiro Nagoshi,toshihiro-nagoshi,22
258,Sergei Kuprejanov,sergei-kuprejanov,8
941,Del Chafe III,del-chafe-iii,14
522,Jake Rodkin,jake-rodkin,5
2858,Rod Fergusson,rod-fergusson,6
686,Nate Fox,nate-fox,7
807,Eric Parsons,eric-parsons,4
915,Carl Muckenhoupt,carl-muckenhoupt,6
1047,Stuart Chatwood,stuart-chatwood,11
1197,Lars Gustavsson,lars-gustavsson,9
424,Pierre Shorette,pierre-shorette,5
245,Josef Fares,josef-fares,5
43,Jason Hayes,jason-hayes,9
943,Lars Bakken,lars-bakken,11
21652,Trevor Walker,trevor-walker,4
21650,Pat Dwyer,pat-dwyer,4
20936,Dacey Willoughby,dacey-willoughby,2
20241,Jason Hail,jason-hail,2
20991,Jean-Luc Cano,jean-luc-cano,2
20990,Christian Divine,christian-divine,2
20993,Luc Baghadoust,luc-baghadoust,2
985,Richard Lemarchand,richard-lemarchand,10
21688,Chris Cherubini,chris-cherubini,5
773,Stevan Hird,stevan-hird,8
806,Sean Ainsworth,sean-ainsworth,4
2201,Leon Warren,leon-warren,11
2439,Richard Farrelly,richard-farrelly,10
90,Kyle Peschel,kyle-peschel,3
1075,Mohamed Gambouz,mohamed-gambouz,3
148,Lars Johansson,lars-johansson,6
1247,Ramin Djawadi,ramin-djawadi,15
590,Sam Houser,sam-houser,11
177,Bryan Dillow,bryan-dillow,3
937,Martin O'Donnell,martin-odonnell,26
282,Greg Nagan,greg-nagan,4
1869,Peter Molyneux,peter-molyneux,35
2178,Matthew Sophos,matthew-sophos,5
533,Jon Greenberg,jon-greenberg,8
534,Brian Chard,brian-chard,8
2182,Jean Guesdon,jean-guesdon,3
1302,Sergey Grygorovych,sergey-grygorovych,9
413,Jason L. Blair,jason-l-blair,4
229,Andrew Wang,andrew-wang,4
428,Jason Latino,jason-latino,4
476,Martin Lancaster,martin-lancaster,4
1528,Grant Kirkhope,grant-kirkhope,18
189,David Kates,david-kates,5
5999,Dylan Jobe,dylan-jobe,3
2437,Steve Goldberg,steve-goldberg,7
24519,Bey Bickerton,bey-bickerton,13
5141,Keith Schuler,keith-schuler,16
353,Marc Nicander,marc-nicander,3
211,Martin Dubeau,martin-dubeau,4
206,Jason Dozois,jason-dozois,4
448,Joris de Man,joris-de-man,9
916,Jason Kim,jason-kim,11
5728,Yoko Shimomura,yoko-shimomura,68
4708,Hironobu Sakaguchi,hironobu-sakaguchi,50
18505,David Lowmiller,david-lowmiller,4
2156,Nathan Fulton,nathan-fulton,2
1096,Masafumi Takada,masafumi-takada,42
125,Mikko Rautalahti,mikko-rautalahti,4
443,Mathijs de Jonge,mathijs-de-jonge,10
1390,Whitney Ayres,whitney-ayres,7
1389,Warren Spector,warren-spector,29
3079,Zied Rieke,zied-rieke,6
2520,Arthur Parsons,arthur-parsons,9
2452,Akira Yamaoka,akira-yamaoka,34
1720,Jason Ades,jason-ades,5
2494,James Schmalz,james-schmalz,10
9152,Steven Ackrich,steven-ackrich,9
9756,Richard Garcia,richard-garcia,8
2232,Niklas Hansson,niklas-hansson,4
1310,Adam Pyle,adam-pyle,4
741,David Slagle,david-slagle,3
132,Dennis Wedin,dennis-wedin,3
411,Dan Doležel,dan-dolezel,3
408,Lukáš Kuře,lukas-kure,3
141,Jens Matthies,jens-matthies,5
452,Zak Belica,zak-belica,11
8352,Kenichi Ueda,kenichi-ueda,4
427,Adam Hines,adam-hines,5
6362,Takeshi Suzuki,takeshi-suzuki,7
300,Pawel Blaszczak,pawel-blaszczak-2,8
5152,Noboru Sugimura,noboru-sugimura,23
2327,Daniel Bunting,daniel-bunting,3
1587,Hiroshi Shibata,hiroshi-shibata,8
2402,Tsuyoshi Kanda,tsuyoshi-kanda,3
1012,Gavin Carter,gavin-carter,6
429,Martin Montgomery,martin-montgomery,4
774,Frank Rooke,frank-rooke,5
7941,Dana Hanna,dana-hanna,2
2314,Makoto Tomozawa,makoto-tomozawa,17
4266,Chuck Yager,chuck-yager,5
3701,Mark Dochtermann,mark-dochtermann,22
17557,Jeremy Barnes,jeremy-barnes,12
2419,Brian Johnson,brian-johnson,8
468,David Gaider,david-gaider,10
1136,Tim Sweeney,tim-sweeney,11
4094,John Daud,john-daud,2
7498,Shinji Hashimoto,shinji-hashimoto,24
1110,Nate Wells,nate-wells,7
507,Walt Williams,walt-williams,3
6901,Dan Edwards,dan-edwards,4
2266,Hiroki Kato,hiroki-kato,15
541,Christopher Drake,christopher-drake,5
360,Peter Chan,peter-chan,10
1137,R. Scott Campbell,r-scott-campbell,22
471,Mike Laidlaw,mike-laidlaw,6
812,Harrison G. Pink,harrison-g-pink,3
26529,Etsu Tamari,etsu-tamari,2
1737,Jan Van Dosselaer,jan-van-dosselaer,6
